_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
91,2018-11-29 01:50:01.533000,791,0,0,Parking Hala Stulecia
92,2018-11-29 01:54:54,590,0,0,Narodowe Forum Muzyki
93,2018-11-29 01:55:00.013000,272,0,0,Nowy Targ
94,2018-11-29 01:55:01.467000,125,0,0,ul. św. Antoniego
95,2018-11-29 01:55:01.607000,791,0,0,Parking Hala Stulecia
96,2018-11-29 01:59:54,590,0,0,Narodowe Forum Muzyki
97,2018-11-29 02:00:00.010000,272,0,0,Nowy Targ
98,2018-11-29 02:00:01.790000,791,0,0,Parking Hala Stulecia
99,2018-11-29 02:00:01.980000,125,0,0,ul. św. Antoniego
100,2018-11-29 02:05:00,590,0,0,Narodowe Forum Muzyki
101,2018-11-29 02:05:00.013000,272,0,0,Nowy Targ
102,2018-11-29 02:05:01.737000,791,0,0,Parking Hala Stulecia
103,2018-11-29 02:05:01.777000,125,0,0,ul. św. Antoniego
104,2018-11-29 02:10:00,590,0,0,Narodowe Forum Muzyki
105,2018-11-29 02:10:00.013000,272,0,0,Nowy Targ
106,2018-11-29 02:10:01.227000,791,0,0,Parking Hala Stulecia
107,2018-11-29 02:10:01.850000,123,1,0,ul. św. Antoniego
108,2018-11-29 02:15:00,590,0,0,Narodowe Forum Muzyki
109,2018-11-29 02:15:00.010000,272,0,0,Nowy Targ
110,2018-11-29 02:15:01.313000,792,0,1,Parking Hala Stulecia
111,2018-11-29 02:15:01.980000,123,0,0,ul. św. Antoniego
112,2018-11-29 02:20:00,590,0,0,Narodowe Forum Muzyki
113,2018-11-29 02:20:00.023000,272,0,0,Nowy Targ
114,2018-11-29 02:20:01.403000,792,0,0,Parking Hala Stulecia
115,2018-11-29 02:20:01.933000,124,0,1,ul. św. Antoniego
116,2018-11-29 02:25:00,590,0,0,Narodowe Forum Muzyki
117,2018-11-29 02:25:00.010000,272,0,0,Nowy Targ
118,2018-11-29 02:25:01.227000,792,0,0,Parking Hala Stulecia
119,2018-11-29 02:25:01.407000,124,0,0,ul. św. Antoniego
120,2018-11-29 02:30:00,590,0,0,Narodowe Forum Muzyki
121,2018-11-29 02:30:00.010000,272,0,0,Nowy Targ
122,2018-11-29 02:30:01.957000,792,0,0,Parking Hala Stulecia
123,2018-11-29 02:30:02.123000,124,0,0,ul. św. Antoniego
124,2018-11-29 02:35:00,590,0,0,Narodowe Forum Muzyki
125,2018-11-29 02:35:00.013000,272,0,0,Nowy Targ
126,2018-11-29 02:35:01.247000,792,0,0,Parking Hala Stulecia
